Record,Date,UTC Time,temperatura6,temperaturaCarcaza,temperaturaInterior
      2751,10/29/2017, 8:26:39,   1.342132E+01,   1.346458E+01,   1.366667E+01
      2752,10/29/2017, 8:56:39,   1.351975E+01,   1.346458E+01,   1.375000E+01
      2753,10/29/2017, 9:26:39,   1.361818E+01,   1.356426E+01,   1.375000E+01
      2754,10/29/2017, 9:56:39,   1.361818E+01,   1.356426E+01,   1.375000E+01
      2755,10/29/2017,10:26:39,   1.381505E+01,   1.366395E+01,   1.383333E+01
      2756,10/29/2017,10:56:39,   1.381505E+01,   1.366395E+01,   1.383333E+01
      2757,10/29/2017,11:26:39,   1.391348E+01,   1.376364E+01,   1.383333E+01
      2758,10/29/2017,11:56:40,   1.391348E+01,   1.376364E+01,   1.383333E+01
      2759,10/29/2017,12:26:40,   1.361818E+01,   1.356426E+01,   1.375000E+01
      2760,10/29/2017,12:56:40,   1.361818E+01,   1.356426E+01,   1.366667E+01
      2761,10/29/2017,13:26:40,   1.381505E+01,   1.366395E+01,   1.366667E+01
      2762,10/29/2017,13:56:40,   1.381505E+01,   1.366395E+01,   1.375000E+01
      2763,10/29/2017,14:26:40,   1.391348E+01,   1.376364E+01,   1.375000E+01
      2764,10/29/2017,14:56:40,   1.391348E+01,   1.376364E+01,   1.383333E+01
      2765,10/29/2017,15:26:39,   1.391348E+01,   1.376364E+01,   1.383333E+01
      2766,10/29/2017,15:56:39,   1.391348E+01,   1.376364E+01,   1.383333E+01
      2767,10/29/2017,16:26:39,   1.391348E+01,   1.386332E+01,   1.383333E+01
      2768,10/29/2017,16:56:39,   1.401191E+01,   1.386332E+01,   1.391667E+01
      2769,10/29/2017,17:26:39,   1.401191E+01,   1.386332E+01,   1.383333E+01
      2770,10/29/2017,17:56:39,   1.401191E+01,   1.386332E+01,   1.391667E+01
      2771,10/29/2017,18:26:39,   1.411034E+01,   1.396301E+01,   1.391667E+01
      2772,10/29/2017,18:56:39,   1.420878E+01,   1.396301E+01,   1.400000E+01
      2773,10/29/2017,19:26:39,   1.430721E+01,   1.406270E+01,   1.408333E+01
      2774,10/29/2017,19:56:39,   1.411034E+01,   1.396301E+01,   1.400000E+01
      2775,10/29/2017,20:26:39,   1.401191E+01,   1.386332E+01,   1.391667E+01
      2776,10/29/2017,20:56:39,   1.391348E+01,   1.396301E+01,   1.391667E+01
      2777,10/29/2017,21:26:39,   1.391348E+01,   1.396301E+01,   1.391667E+01
      2778,10/29/2017,21:56:39,   1.401191E+01,   1.396301E+01,   1.391667E+01
      2779,10/29/2017,22:26:39,   1.391348E+01,   1.396301E+01,   1.391667E+01
      2780,10/29/2017,22:56:39,   1.391348E+01,   1.396301E+01,   1.391667E+01
      2781,10/29/2017,23:26:39,   1.381505E+01,   1.386332E+01,   1.383333E+01
      2782,10/29/2017,23:56:39,   1.381505E+01,   1.386332E+01,   1.383333E+01
      2783,10/30/2017, 0:26:39,   1.381505E+01,   1.386332E+01,   1.383333E+01
      2784,10/30/2017, 0:56:38,   1.381505E+01,   1.386332E+01,   1.383333E+01
      2785,10/30/2017, 1:26:38,   1.371661E+01,   1.386332E+01,   1.375000E+01
      2786,10/30/2017, 1:56:38,   1.371661E+01,   1.386332E+01,   1.375000E+01
      2787,10/30/2017, 2:26:38,   1.381505E+01,   1.386332E+01,   1.375000E+01
      2788,10/30/2017, 2:56:38,   1.391348E+01,   1.396301E+01,   1.383333E+01
      2789,10/30/2017, 3:26:38,   1.381505E+01,   1.396301E+01,   1.383333E+01
      2790,10/30/2017, 3:56:38,   1.381505E+01,   1.386332E+01,   1.383333E+01
      2791,10/30/2017, 4:26:38,   1.381505E+01,   1.386332E+01,   1.383333E+01
      2792,10/30/2017, 4:56:38,   1.381505E+01,   1.386332E+01,   1.383333E+01
      2793,10/30/2017, 5:26:38,   1.371661E+01,   1.376364E+01,   1.383333E+01
      2794,10/30/2017, 5:56:38,   1.351975E+01,   1.376364E+01,   1.375000E+01
      2795,10/30/2017, 6:26:39,   1.371661E+01,   1.376364E+01,   1.366667E+01
      2796,10/30/2017, 6:56:39,   1.450407E+01,   1.515925E+01,   1.125000E+01
      2797,10/30/2017, 7:26:39,   1.460251E+01,   1.585705E+01,   1.183333E+01
      2798,10/30/2017, 7:56:39,   1.460251E+01,   1.575737E+01,   1.183333E+01
      2799,10/30/2017, 8:26:39,   1.460251E+01,   1.585705E+01,   1.233333E+01
      2800,10/30/2017, 8:56:39,   1.440564E+01,   1.456113E+01,   1.191667E+01
      2801,10/30/2017, 9:26:39,   1.450407E+01,   1.466081E+01,   1.208333E+01
      2802,10/30/2017, 9:56:39,   1.460251E+01,   1.505956E+01,   1.291667E+01
      2803,10/30/2017,10:26:38,   1.460251E+01,   1.486019E+01,   1.291667E+01
      2804,10/30/2017,10:56:38,   1.519310E+01,   1.585705E+01,   1.425000E+01
      2805,10/30/2017,11:26:38,   1.529154E+01,   1.555799E+01,   1.458333E+01
      2806,10/30/2017,11:56:38,   1.538997E+01,   1.705329E+01,   1.491667E+01
      2807,10/30/2017,12:26:38,   1.578370E+01,   1.665455E+01,   1.566667E+01
      2808,10/30/2017,12:56:38,   1.578370E+01,   1.625580E+01,   1.591667E+01
      2809,10/30/2017,13:26:38,   1.538997E+01,   1.575737E+01,   1.508333E+01
      2810,10/30/2017,13:56:38,   1.538997E+01,   1.595674E+01,   1.550000E+01
      2811,10/30/2017,14:26:38,   1.519310E+01,   1.555799E+01,   1.525000E+01
      2812,10/30/2017,14:56:38,   1.519310E+01,   1.575737E+01,   1.525000E+01
      2813,10/30/2017,15:26:38,   1.519310E+01,   1.555799E+01,   1.533333E+01
      2814,10/30/2017,15:56:38,   1.499624E+01,   1.535862E+01,   1.516667E+01
      2815,10/30/2017,16:26:38,   1.489781E+01,   1.505956E+01,   1.491667E+01
      2816,10/30/2017,16:56:38,   1.470094E+01,   1.495987E+01,   1.483333E+01
      2817,10/30/2017,17:26:38,   1.470094E+01,   1.495987E+01,   1.491667E+01
      2818,10/30/2017,17:56:38,   1.470094E+01,   1.495987E+01,   1.500000E+01
      2819,10/30/2017,18:26:38,   1.470094E+01,   1.495987E+01,   1.525000E+01
      2820,10/30/2017,18:56:38,   1.470094E+01,   1.495987E+01,   1.516667E+01
      2821,10/30/2017,19:26:38,   1.450407E+01,   1.486019E+01,   1.508333E+01
      2822,10/30/2017,19:56:38,   1.450407E+01,   1.476050E+01,   1.500000E+01
      2823,10/30/2017,20:26:38,   1.440564E+01,   1.476050E+01,   1.508333E+01
      2824,10/30/2017,20:56:37,   1.440564E+01,   1.476050E+01,   1.516667E+01
      2825,10/30/2017,21:26:37,   1.430721E+01,   1.476050E+01,   1.525000E+01
      2826,10/30/2017,21:56:37,   1.430721E+01,   1.476050E+01,   1.541667E+01
      2827,10/30/2017,22:26:37,   1.430721E+01,   1.476050E+01,   1.558333E+01
      2828,10/30/2017,22:56:37,   1.430721E+01,   1.476050E+01,   1.566667E+01
      2829,10/30/2017,23:26:37,   1.420878E+01,   1.476050E+01,   1.583333E+01
      2830,10/30/2017,23:56:37,   1.420878E+01,   1.476050E+01,   1.591667E+01
      2831,10/31/2017, 0:26:38,   1.411034E+01,   1.466081E+01,   1.591667E+01
      2832,10/31/2017, 0:56:38,   1.411034E+01,   1.466081E+01,   1.591667E+01
      2833,10/31/2017, 1:26:38,   1.401191E+01,   1.456113E+01,   1.591667E+01
      2834,10/31/2017, 1:56:38,   1.401191E+01,   1.456113E+01,   1.591667E+01
      2835,10/31/2017, 2:26:38,   1.391348E+01,   1.456113E+01,   1.583333E+01
      2836,10/31/2017, 2:56:38,   1.391348E+01,   1.446144E+01,   1.583333E+01
      2837,10/31/2017, 3:26:38,   1.381505E+01,   1.446144E+01,   1.583333E+01
      2838,10/31/2017, 3:56:38,   1.381505E+01,   1.446144E+01,   1.583333E+01
      2839,10/31/2017, 4:26:38,   1.371661E+01,   1.436175E+01,   1.583333E+01
      2840,10/31/2017, 4:56:38,   1.371661E+01,   1.436175E+01,   1.575000E+01
      2841,10/31/2017, 5:26:38,   1.361818E+01,   1.426207E+01,   1.566667E+01
      2842,10/31/2017, 5:56:38,   1.361818E+01,   1.436175E+01,   1.575000E+01
      2843,10/31/2017, 6:26:37,   1.371661E+01,   1.466081E+01,   1.583333E+01
      2844,10/31/2017, 6:56:37,   1.391348E+01,   1.476050E+01,   1.600000E+01
